Geography,Year,Category,Industry Space Use,Value
City of Melbourne,2022,Jobs by industry,Food and beverage services,34278
City of Melbourne,2022,Jobs by industry,Information media and telecommunications,26222
City of Melbourne,2022,Jobs by industry,Rental and hiring services,377
City of Melbourne,2022,Jobs by industry,"Transport, postal and storage",14489
City of Melbourne,2022,Jobs by space use,Entertainment - Hospitality,28429
City of Melbourne,2022,Jobs by space use,Entertainment - Other,19088
City of Melbourne,2022,Jobs by space use,Health,35863
Carlton,2022,Jobs by industry,Accommodation,867
Carlton,2022,Jobs by industry,Arts and recreation services,760
Carlton,2022,Jobs by industry,"Electricity, gas, water and waste services",0
Carlton,2022,Jobs by industry,Food and beverage services,1646
Carlton,2022,Jobs by industry,Other services,1297
Carlton,2022,Jobs by industry,Real estate services,92
Carlton,2022,Jobs by industry,Rental and hiring services,19
Carlton,2022,Jobs by industry,Retail trade,712
Carlton,2022,Jobs by industry,Wholesale trade,94
Docklands,2022,Jobs by industry,Arts and recreation services,1894
Docklands,2022,Jobs by industry,Business services,12197
Docklands,2022,Jobs by industry,Construction,376
Docklands,2022,Jobs by industry,"Electricity, gas, water and waste services",3623
Docklands,2022,Jobs by industry,Finance and insurance,24858
Docklands,2022,Jobs by industry,Public administration and safety,8473
Docklands,2022,Jobs by industry,Rental and hiring services,24
Docklands,2022,Jobs by industry,Retail trade,2522
Docklands,2022,Jobs by industry,Wholesale trade,789
East Melbourne,2022,Jobs by industry,Construction,52
East Melbourne,2022,Jobs by industry,Education and training,1408
East Melbourne,2022,Jobs by industry,Finance and insurance,528
East Melbourne,2022,Jobs by industry,Health care and social assistance,5310
East Melbourne,2022,Jobs by industry,Information media and telecommunications,72
East Melbourne,2022,Jobs by industry,Manufacturing,642
East Melbourne,2022,Jobs by industry,Public administration and safety,4588
East Melbourne,2022,Jobs by industry,Real estate services,65
Kensington,2022,Jobs by industry,Admin and support services,199
Kensington,2022,Jobs by industry,Agriculture and mining,3
Kensington,2022,Jobs by industry,Business services,995
Kensington,2022,Jobs by industry,"Electricity, gas, water and waste services",0
Kensington,2022,Jobs by industry,Finance and insurance,7
Kensington,2022,Jobs by industry,Food and beverage services,344
Melbourne (CBD),2022,Jobs by industry,Accommodation,4965
Melbourne (CBD),2022,Jobs by industry,Agriculture and mining,1089
Melbourne (CBD),2022,Jobs by industry,Finance and insurance,35981
Melbourne (CBD),2022,Jobs by industry,Manufacturing,1603
Melbourne (CBD),2022,Jobs by industry,Wholesale trade,512
Melbourne (Remainder),2022,Jobs by industry,Arts and recreation services,4281
Melbourne (Remainder),2022,Jobs by industry,Business services,3487
Melbourne (Remainder),2022,Jobs by industry,"Electricity, gas, water and waste services",172
Melbourne (Remainder),2022,Jobs by industry,Information media and telecommunications,35
North Melbourne,2022,Jobs by industry,Finance and insurance,115
North Melbourne,2022,Jobs by industry,Real estate services,111
