Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Number of patrons,Longitude,Latitude,Location
2020,55,101194,101194,314-336 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Mural Hall,Part Level 6 314-336 Bourke Street MELBOURNE VIC 3000,900,144.96383,-37.81345,"-37.81345, 144.96383"
2020,55,109284,109284,191-205 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Black Opal,191 Swanston Street MELBOURNE VIC 3000,200,144.96501,-37.8131,"-37.8131, 144.96501"
2020,57,101212,101212,152-158 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Ballers Clubhouse,Level 2-3 2 Coverlid Place MELBOURNE VIC 3000,1500,144.96852,-37.81196,"-37.81196, 144.96852"
2020,58,105657,105657,21 Liverpool Street MELBOURNE VIC 3000,Melbourne (CBD),Double Happiness Bar / New Gold Mountain,21 Liverpool Street MELBOURNE VIC 3000,164,144.97126,-37.81118,"-37.81118, 144.97126"
2020,58,105829,105829,37-41 Little Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Juliet Melbourne,Basement 37-41 Little Bourke Street MELBOURNE VIC 3000,100,144.97151,-37.81084,"-37.81084, 144.97151"
2020,61,105308,105308,203-207 King Street MELBOURNE VIC 3000,Melbourne (CBD),Bar Humbug,586 Little Bourke Street MELBOURNE VIC 3000,30,144.95497,-37.81539,"-37.81539, 144.95497"
2020,61,105716,105716,597-603 Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),The Men's Gallery,597-603 Lonsdale Street MELBOURNE VIC 3000,675,144.95449,-37.81495,"-37.81495, 144.95449"
2020,61,105858,105858,590-592 Little Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Holey Moley Golf Club,590-592 Little Bourke Street MELBOURNE VIC 3000,700,144.9547,-37.81534,"-37.81534, 144.9547"
2020,64,104659,104659,67-73 Hardware Lane MELBOURNE VIC 3000,Melbourne (CBD),The Mill,Ground 67 Hardware Lane MELBOURNE VIC 3000,119,144.96091,-37.81323,"-37.81323, 144.96091"
2020,64,105704,105704,377-381 Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Trapt Bar & Escape Rooms,"Unit 1, 377 Lonsdale Street MELBOURNE VIC 3000",331,144.96145,-37.81288,"-37.81288, 144.96145"
2020,65,109292,109292,243-249 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Radar,Level 1 243-249 Swanston Street MELBOURNE VIC 3000,212,144.96474,-37.8123,"-37.8123, 144.96474"
2020,66,105691,105691,209-211 Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Boilermaker House,209-211 Lonsdale Street MELBOURNE VIC 3000,180,144.96626,-37.81143,"-37.81143, 144.96626"
2020,66,105878,105878,242-244 Little Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Shanghai Club,"Unit 1, Ground 242 Little Bourke Street MELBOURNE VIC 3000",209,144.96559,-37.81209,"-37.81209, 144.96559"
2020,66,109390,109390,264-266 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Goldilocks,Rooftop 264 Swanston Street MELBOURNE VIC 3000,60,144.96515,-37.81181,"-37.81181, 144.96515"
2020,66,109392,109392,Curtin House 248-258 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Cookie,"Unit S2, Level 1 252 Swanston Street MELBOURNE VIC 3000",300,144.96527,-37.81199,"-37.81199, 144.96527"
2020,66,109392,109392,Curtin House 248-258 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),The Toff In Town,"Unit S3-S4, Level 2 252 Swanston Street MELBOURNE VIC 3000",342,144.96527,-37.81199,"-37.81199, 144.96527"
2020,66,109436,109436,27-29 Tattersalls Lane MELBOURNE VIC 3000,Melbourne (CBD),Section 8 Bar,27-29 Tattersalls Lane MELBOURNE VIC 3000,100,144.96539,-37.81176,"-37.81176, 144.96539"
2020,66,109952,109952,7-9 Waratah Place MELBOURNE VIC 3000,Melbourne (CBD),Manchuria,Level 1 7-9 Waratah Place MELBOURNE VIC 3000,80,144.96699,-37.81162,"-37.81162, 144.96699"
2020,67,102200,102200,12-14 Corrs Lane MELBOURNE VIC 3000,Melbourne (CBD),Fad Gallery,Gnd & Flr1 14 Corrs Lane MELBOURNE VIC 3000,80,144.96843,-37.81123,"-37.81123, 144.96843"
